Date,Time UTC,Latitude,Longitude,Depth,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,Year,Month,Day
3/13/2019,3:24:48,19.34,-155.15,1,Ml,2.1,"ISLAND OF HAWAII, HAWAII",3/13/2019 3:30,750458,2019,3,13
6/18/2018,10:29:00,19.42,-155.29,0,ML,2.6,"ISLAND OF HAWAII, HAWAII",6/18/2018 10:34,678141,2018,6,18
7/8/2016,3:58:05,40.12,31.64,5,ML,2.1,WESTERN TURKEY,7/8/2016 4:07,517002,2016,7,8
3/8/2018,22:27:25,-4.34,152.98,65,mb,4.9,"NEW BRITAIN REGION, P.N.G.",3/9/2018 7:40,653365,2018,3,8
2/2/2015,12:43:40,35.1,24.32,17,ML,2,"CRETE, GREECE",2/3/2015 13:38,425639,2015,2,2
5/6/2014,12:58:36,19.34,-155.15,1,ML,3.1,"ISLAND OF HAWAII, HAWAII",5/6/2014 13:12,376680,2014,5,6
1/17/2014,10:15:38,-22.75,-68.61,100,ML,3,"ANTOFAGASTA, CHILE",1/17/2014 10:27,353695,2014,1,17
8/9/2013,13:04:55,38.69,22.66,15,ML,2.6,GREECE,8/30/2013 12:20,332139,2013,8,9
7/5/2015,4:20:28,41.05,24.84,15,ML,3.2,GREECE,7/5/2015 8:41,449427,2015,7,5
7/3/2015,4:51:58,19.31,-155.39,5,ML,2.3,"ISLAND OF HAWAII, HAWAII",7/3/2015 4:58,449211,2015,7,3
