Item 1,Item 2,Item 3,Item 4,Item 5
A,B,C,D,E
B,A,C,D,E
A,R,V,W,B
C,D,W,Q,E
A,T,Y,V,B
A,N,V,Y,I
A,C,Y,E,H
V,A,E,Y,H
A,E,T,V,H
B,C,D,E,U
A,S,D,F,G
F,G,H,J,K
A,C,V,T,E
E,Q,R,Y,H
V,H,J,A,S
A,B,R,V,E
B,D,E,S,G
B,D,S,E,H
E,S,C,D,B
B,D,E,Q,A
A,E,D,C,B
E,R,Q,A,C
R,Y,C,V,T
E,Q,X,C,R
Y,B,V,E,F
F,V,H,J,K
A,C,C,T,E
E,Q,R,Y,H
V,F,J,A,S
A,B,S,V,E
B,D,A,S,G
B,D,F,E,H
E,S,G,D,B
B,D,E,Q,A
A,E,S,C,B
E,R,G,A,C
R,Y,G,V,T
E,Q,B,C,R
Y,B,C,E,F
V,F,J,A,B
A,B,S,F,E
V,D,A,S,G
B,D,F,E,C
E,S,G,R,B
F,D,E,Q,A
A,H,S,C,B
E,R,V,A,C
R,Y,B,V,T
E,Q,S,C,R
Y,S,C,E,F
